imagepath,filename,disease_name,category,split,label
C:\Users\hamza\Downloads\FYP\AlzVsStr\AlzVsStr\train\Stroke\aug_Stroke 1 (1).jpg,aug_Stroke 1 (1).jpg,Brain Disease,Stroke,train,1
C:\Users\hamza\Downloads\FYP\AlzVsStr\AlzVsStr\train\Stroke\aug_Stroke 1 (10).jpg,aug_Stroke 1 (10).jpg,Brain Disease,Stroke,train,1
C:\Users\hamza\Downloads\FYP\AlzVsStr\AlzVsStr\train\Stroke\aug_Stroke 1 (100).jpg,aug_Stroke 1 (100).jpg,Brain Disease,Stroke,train,1
C:\Users\hamza\Downloads\FYP\AlzVsStr\AlzVsStr\train\Stroke\aug_Stroke 1 (101).jpg,aug_Stroke 1 (101).jpg,Brain Disease,Stroke,train,1
C:\Users\hamza\Downloads\FYP\AlzVsStr\AlzVsStr\train\Stroke\aug_Stroke 1 (102).jpg,aug_Stroke 1 (102).jpg,Brain Disease,Stroke,train,1
C:\Users\hamza\Downloads\FYP\AlzVsStr\AlzVsStr\train\Stroke\aug_Stroke 1 (103).jpg,aug_Stroke 1 (103).jpg,Brain Disease,Stroke,train,1
C:\Users\hamza\Downloads\FYP\AlzVsStr\AlzVsStr\train\Stroke\aug_Stroke 1 (104).jpg,aug_Stroke 1 (104).jpg,Brain Disease,Stroke,train,1
C:\Users\hamza\Downloads\FYP\AlzVsStr\AlzVsStr\train\Stroke\aug_Stroke 1 (105).jpg,aug_Stroke 1 (105).jpg,Brain Disease,Stroke,train,1
C:\Users\hamza\Downloads\FYP\AlzVsStr\AlzVsStr\train\Stroke\aug_Stroke 1 (106).jpg,aug_Stroke 1 (106).jpg,Brain Disease,Stroke,train,1
C:\Users\hamza\Downloads\FYP\AlzVsStr\AlzVsStr\train\Stroke\aug_Stroke 1 (107).jpg,aug_Stroke 1 (107).jpg,Brain Disease,Stroke,train,1
C:\Users\hamza\Downloads\FYP\AlzVsStr\AlzVsStr\train\Stroke\aug_Stroke 1 (108).jpg,aug_Stroke 1 (108).jpg,Brain Disease,Stroke,train,1
