imagepath,filename,disease_name,category,split,label
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (1).jpg,aug_Stroke 1 (1).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (10).jpg,aug_Stroke 1 (10).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (100).jpg,aug_Stroke 1 (100).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (101).jpg,aug_Stroke 1 (101).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (102).jpg,aug_Stroke 1 (102).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (103).jpg,aug_Stroke 1 (103).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (104).jpg,aug_Stroke 1 (104).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (105).jpg,aug_Stroke 1 (105).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (106).jpg,aug_Stroke 1 (106).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (107).jpg,aug_Stroke 1 (107).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (108).jpg,aug_Stroke 1 (108).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (109).jpg,aug_Stroke 1 (109).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (11).jpg,aug_Stroke 1 (11).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (110).jpg,aug_Stroke 1 (110).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (111).jpg,aug_Stroke 1 (111).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (112).jpg,aug_Stroke 1 (112).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (113).jpg,aug_Stroke 1 (113).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (114).jpg,aug_Stroke 1 (114).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (115).jpg,aug_Stroke 1 (115).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (116).jpg,aug_Stroke 1 (116).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (117).jpg,aug_Stroke 1 (117).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (118).jpg,aug_Stroke 1 (118).jpg,skin disease,Stroke,train,1
C:\Users\habib\Downloads\Brain Model\AlzVsStr\train\Stroke\aug_Stroke 1 (119).jpg,aug_Stroke 1 (119).jpg,skin disease,Stroke,train,1
