imagepath,filename,disease_name,category,split,label
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person383_bacteria_1751.jpeg,person383_bacteria_1751.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person383_bacteria_1752.jpeg,person383_bacteria_1752.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person383_bacteria_1753.jpeg,person383_bacteria_1753.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person383_bacteria_1754.jpeg,person383_bacteria_1754.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person384_bacteria_1755.jpeg,person384_bacteria_1755.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person385_bacteria_1765.jpeg,person385_bacteria_1765.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person385_bacteria_1766.jpeg,person385_bacteria_1766.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person387_bacteria_1769.jpeg,person387_bacteria_1769.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person387_bacteria_1770.jpeg,person387_bacteria_1770.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person387_bacteria_1772.jpeg,person387_bacteria_1772.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person412_bacteria_1827.jpeg,person412_bacteria_1827.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person413_bacteria_1828.jpeg,person413_bacteria_1828.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person413_bacteria_1829.jpeg,person413_bacteria_1829.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person413_bacteria_1830.jpeg,person413_bacteria_1830.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person413_bacteria_1831.jpeg,person413_bacteria_1831.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person413_bacteria_1832.jpeg,person413_bacteria_1832.jpeg,skin disease,Pneumonia,train,1
C:\Users\hamza\Downloads\CancerVsPneumonia\CancerVsPneumonia\train\Pneumonia\person413_bacteria_1833.jpeg,person413_bacteria_1833.jpeg,skin disease,Pneumonia,train,1
