imagepath,filename,disease_name,category,split,label
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1000_bacteria_2931.jpeg,person1000_bacteria_2931.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1001_bacteria_2932.jpeg,person1001_bacteria_2932.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1002_bacteria_2933.jpeg,person1002_bacteria_2933.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1003_bacteria_2934.jpeg,person1003_bacteria_2934.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1004_bacteria_2935.jpeg,person1004_bacteria_2935.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1005_bacteria_2936.jpeg,person1005_bacteria_2936.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1006_bacteria_2937.jpeg,person1006_bacteria_2937.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1007_bacteria_2938.jpeg,person1007_bacteria_2938.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1008_bacteria_2939.jpeg,person1008_bacteria_2939.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1010_bacteria_2941.jpeg,person1010_bacteria_2941.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1011_bacteria_2942.jpeg,person1011_bacteria_2942.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1012_bacteria_2943.jpeg,person1012_bacteria_2943.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1014_bacteria_2945.jpeg,person1014_bacteria_2945.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1016_bacteria_2947.jpeg,person1016_bacteria_2947.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1017_bacteria_2948.jpeg,person1017_bacteria_2948.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1018_bacteria_2949.jpeg,person1018_bacteria_2949.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1019_bacteria_2950.jpeg,person1019_bacteria_2950.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1020_bacteria_2951.jpeg,person1020_bacteria_2951.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1022_bacteria_2953.jpeg,person1022_bacteria_2953.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1023_bacteria_2954.jpeg,person1023_bacteria_2954.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1024_bacteria_2955.jpeg,person1024_bacteria_2955.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1026_bacteria_2957.jpeg,person1026_bacteria_2957.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1028_bacteria_2959.jpeg,person1028_bacteria_2959.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1028_bacteria_2960.jpeg,person1028_bacteria_2960.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1029_bacteria_2961.jpeg,person1029_bacteria_2961.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1031_bacteria_2963.jpeg,person1031_bacteria_2963.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1031_bacteria_2964.jpeg,person1031_bacteria_2964.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1033_bacteria_2966.jpeg,person1033_bacteria_2966.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1034_bacteria_2968.jpeg,person1034_bacteria_2968.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1035_bacteria_2969.jpeg,person1035_bacteria_2969.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1036_bacteria_2970.jpeg,person1036_bacteria_2970.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1037_bacteria_2971.jpeg,person1037_bacteria_2971.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1038_bacteria_2972.jpeg,person1038_bacteria_2972.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1039_bacteria_2973.jpeg,person1039_bacteria_2973.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1040_bacteria_2974.jpeg,person1040_bacteria_2974.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1041_bacteria_2975.jpeg,person1041_bacteria_2975.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1043_bacteria_2977.jpeg,person1043_bacteria_2977.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1044_bacteria_2978.jpeg,person1044_bacteria_2978.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1045_bacteria_2979.jpeg,person1045_bacteria_2979.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1046_bacteria_2980.jpeg,person1046_bacteria_2980.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1048_bacteria_2982.jpeg,person1048_bacteria_2982.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1049_bacteria_2983.jpeg,person1049_bacteria_2983.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1050_bacteria_2984.jpeg,person1050_bacteria_2984.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1051_bacteria_2985.jpeg,person1051_bacteria_2985.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1052_bacteria_2986.jpeg,person1052_bacteria_2986.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1053_bacteria_2987.jpeg,person1053_bacteria_2987.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1054_bacteria_2988.jpeg,person1054_bacteria_2988.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1055_bacteria_2989.jpeg,person1055_bacteria_2989.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1056_bacteria_2990.jpeg,person1056_bacteria_2990.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1057_bacteria_2991.jpeg,person1057_bacteria_2991.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1058_bacteria_2992.jpeg,person1058_bacteria_2992.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1059_bacteria_2993.jpeg,person1059_bacteria_2993.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1062_bacteria_2996.jpeg,person1062_bacteria_2996.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1063_bacteria_2997.jpeg,person1063_bacteria_2997.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1065_bacteria_2999.jpeg,person1065_bacteria_2999.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1066_bacteria_3000.jpeg,person1066_bacteria_3000.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1067_bacteria_3001.jpeg,person1067_bacteria_3001.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1068_bacteria_3002.jpeg,person1068_bacteria_3002.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1069_bacteria_3003.jpeg,person1069_bacteria_3003.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1071_bacteria_3005.jpeg,person1071_bacteria_3005.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1072_bacteria_3006.jpeg,person1072_bacteria_3006.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1072_bacteria_3007.jpeg,person1072_bacteria_3007.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1073_bacteria_3008.jpeg,person1073_bacteria_3008.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1073_bacteria_3011.jpeg,person1073_bacteria_3011.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1074_bacteria_3012.jpeg,person1074_bacteria_3012.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1074_bacteria_3014.jpeg,person1074_bacteria_3014.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1075_bacteria_3015.jpeg,person1075_bacteria_3015.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1076_bacteria_3016.jpeg,person1076_bacteria_3016.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1077_bacteria_3017.jpeg,person1077_bacteria_3017.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1078_bacteria_3018.jpeg,person1078_bacteria_3018.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1079_bacteria_3019.jpeg,person1079_bacteria_3019.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1080_bacteria_3020.jpeg,person1080_bacteria_3020.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1081_bacteria_3021.jpeg,person1081_bacteria_3021.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1082_bacteria_3022.jpeg,person1082_bacteria_3022.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1083_bacteria_3023.jpeg,person1083_bacteria_3023.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1084_bacteria_3024.jpeg,person1084_bacteria_3024.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1085_bacteria_3025.jpeg,person1085_bacteria_3025.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1086_bacteria_3026.jpeg,person1086_bacteria_3026.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1087_bacteria_3027.jpeg,person1087_bacteria_3027.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1088_bacteria_3028.jpeg,person1088_bacteria_3028.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1089_bacteria_3029.jpeg,person1089_bacteria_3029.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1091_bacteria_3031.jpeg,person1091_bacteria_3031.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1092_bacteria_3032.jpeg,person1092_bacteria_3032.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1093_bacteria_3033.jpeg,person1093_bacteria_3033.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1096_bacteria_3037.jpeg,person1096_bacteria_3037.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1097_bacteria_3038.jpeg,person1097_bacteria_3038.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1098_bacteria_3039.jpeg,person1098_bacteria_3039.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1099_bacteria_3040.jpeg,person1099_bacteria_3040.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1100_bacteria_3041.jpeg,person1100_bacteria_3041.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1101_bacteria_3042.jpeg,person1101_bacteria_3042.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1102_bacteria_3043.jpeg,person1102_bacteria_3043.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1103_bacteria_3044.jpeg,person1103_bacteria_3044.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1105_bacteria_3046.jpeg,person1105_bacteria_3046.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1107_bacteria_3048.jpeg,person1107_bacteria_3048.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1108_bacteria_3049.jpeg,person1108_bacteria_3049.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1109_bacteria_3050.jpeg,person1109_bacteria_3050.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1110_bacteria_3051.jpeg,person1110_bacteria_3051.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1111_bacteria_3052.jpeg,person1111_bacteria_3052.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1112_bacteria_3053.jpeg,person1112_bacteria_3053.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1114_bacteria_3055.jpeg,person1114_bacteria_3055.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1115_bacteria_3056.jpeg,person1115_bacteria_3056.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1118_bacteria_3059.jpeg,person1118_bacteria_3059.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1122_bacteria_3063.jpeg,person1122_bacteria_3063.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1124_bacteria_3065.jpeg,person1124_bacteria_3065.jpeg,skin disease,Pneumonia,train,1
C:\Users\habib\Downloads\Lung Model\CancerVsPneumonia\train\Pneumonia\person1125_bacteria_3066.jpeg,person1125_bacteria_3066.jpeg,skin disease,Pneumonia,train,1
