imagepath,filename,disease_name,category,split,label
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1).jpg,Tinea Ringworm (1).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (10).jpg,Tinea Ringworm (10).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (100).jpg,Tinea Ringworm (100).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1000).jpg,Tinea Ringworm (1000).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1001).jpg,Tinea Ringworm (1001).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1002).jpg,Tinea Ringworm (1002).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1003).jpg,Tinea Ringworm (1003).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1004).jpg,Tinea Ringworm (1004).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1005).jpg,Tinea Ringworm (1005).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1006).jpg,Tinea Ringworm (1006).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1007).jpg,Tinea Ringworm (1007).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1008).jpg,Tinea Ringworm (1008).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1009).jpg,Tinea Ringworm (1009).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (101).jpg,Tinea Ringworm (101).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1010).jpg,Tinea Ringworm (1010).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1011).jpg,Tinea Ringworm (1011).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1012).jpg,Tinea Ringworm (1012).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1013).jpg,Tinea Ringworm (1013).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1014).jpg,Tinea Ringworm (1014).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1015).jpg,Tinea Ringworm (1015).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1016).jpg,Tinea Ringworm (1016).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1017).jpg,Tinea Ringworm (1017).jpg,skin disease,Tinea,train,1
C:\Users\habib\Downloads\dataset\Skin Disease\train\Tinea\Tinea Ringworm (1018).jpg,Tinea Ringworm (1018).jpg,skin disease,Tinea,train,1
